reaction	linear_coefficient
rxn27716_c	[0.034771639843410175]
rxn16742_c	[0.20503407278526894]
rxn01352_c	[0.011654342467739597]
rxn04482_c	[0.006739161954472959]
rxn31942_c	[0.010134841235319705]
rxn32204_c	[0.010134841235319705]
rxn00801_c	[0.343410178338408]
rxn16574_c	[0.013315934464259823]
rxn10476_c	[0.008676236044657098]
rxn05115_c	[0.04741771784833986]
rxn00143_c	[0.19431056981296216]
rxn30734_c	[0.19431056981296216]
rxn30380_c	[0.16449470784399015]
rxn30369_c	[0.16449470784399015]
rxn35281_c	[0.022430042047266927]
rxn11997_c	[0.013382630129041612]
rxn02791_c	[0.013382630129041612]
rxn05952_c	[0.013382630129041612]
rxn31443_c	[0.013382630129041612]
rxn06817_c	[0.013382630129041612]
rxn06025_c	[0.013382630129041612]
rxn33431_c	[0.013382630129041612]
rxn31675_c	[0.013382630129041612]
rxn31408_c	[0.03300855444396114]
rxn06348_c	[0.03589096708713933]
rxn32132_c	[0.010477018993765406]
rxn38123_c	[0.101267217630854]
rxn03514_c	[0.02693344932579382]
rxn30072_c	[0.02693344932579382]
rxn03408_c	[0.014983326083804554]
rxn03933_c	[0.014983326083804554]
rxn15053_c	[0.005529940553863999]
rxn33432_c	[0.005529940553863999]
rxn00196_c	[0.005529940553863999]
rxn33696_c	[0.005529940553863999]
rxn31895_c	[0.005529940553863999]
rxn33132_c	[0.005529940553863999]
rxn32139_c	[0.005529940553863999]
rxn31362_c	[0.005529940553863999]
rxn32516_c	[0.005529940553863999]
rxn32956_c	[0.005529940553863999]
rxn32720_c	[0.005529940553863999]
rxn06890_c	[0.005529940553863999]
rxn04234_c	[0.005529940553863999]
rxn31901_c	[0.005529940553863999]
rxn03598_c	[0.005529940553863999]
rxn33557_c	[0.005529940553863999]
rxn02122_c	[0.005529940553863999]
rxn30209_c	[0.005529940553863999]
rxn32259_c	[0.015586486878352908]
rxn16581_c	[0.008012179208351457]
rxn27692_c	[0.010477018993765406]
rxn30710_c	[0.010477018993765406]
rxn06729_c	[0.013295635783674062]
rxn32749_c	[0.20503407278526894]
rxn31977_c	[0.046034507756995795]
rxn30256_c	[0.013179643323183993]
rxn33856_c	[0.010477018993765406]
rxn38244_c	[0.016250543714658547]
rxn02000_c	[0.014632448890822098]
rxn31946_c	[0.04741771784833986]
rxn33242_c	[0.007237929534580252]
rxn32058_c	[0.007237929534580252]
rxn33488_c	[0.046034507756995795]
rxn32595_c	[0.0625518341307815]
rxn28256_c	[0.03732057416267942]
rxn20499_c	[0.02646367986080905]
rxn19071_c	[0.02646367986080905]
rxn30578_c	[0.02629549079309845]
rxn27936_c	[0.006739161954472959]
rxn05918_c	[0.010477018993765406]
rxn27994_c	[0.014203276787008844]
rxn32907_c	[0.014203276787008844]
rxn31264_c	[0.014203276787008844]
