reaction	linear_coefficient
rxn38070_c	[0.06836607255948665, 0.06538719233311362, 0.07457342008343797, 0.03390171341106845]
rxn31210_c	[0.0014358801909663166, 0.0014054507717830413, 0.0018540211576243202, 0.0015670188375520539]
rxn19980_c	[0.0014358801909663166, 0.0014054507717830413, 0.0018540211576243202, 0.0015670188375520539]
rxn38143_c	[0.07825263345593085, 0.1089530732262328, 0.1144992592535379, 0.07223688391510617]
rxn27286_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn05107_c	[0.1936065784307509, 0.17363341062546062, 0.20123801159620042, 0.15889357657093706]
rxn24177_c	[0.00565457555557361, 0.004681624285945755, 0.0053295414690070105, 0.008441210267165905]
rxn31885_c	[0.00565457555557361, 0.004681624285945755, 0.0053295414690070105, 0.008441210267165905]
rxn28100_c	[0.013941681974415199, 0.01729248336471715, 0.017046096142905302, 0.01263648886664059]
rxn31826_c	[0.012900426376181124, 0.014558323844360899, 0.014220903252446286, 0.015344284860279216]
rxn29959_c	[0.06260159568812984, 0.06676029446253968, 0.03491410854779075, 0.08693841098221035]
rxn33398_c	[0.06260159568812984, 0.06676029446253968, 0.03491410854779075, 0.08693841098221035]
rxn03809_c	[0.14015903590440895, 0.1472674406854123, 0.1467704248636732, 0.10890405210922341]
rxn03821_c	[0.14015903590440895, 0.1472674406854123, 0.1467704248636732, 0.10890405210922341]
rxn16573_c	[0.02669437940939284, 0.030746475326689067, 0.03410386454523045, 0.02644985883897865]
rxn27109_c	[0.012900426376181124, 0.013594743401933911, 0.011683560204494223, 0.014622205926688024]
rxn32318_c	[0.015390852136737273, 0.016413216207389152, 0.017046096142905302, 0.02052159080328211]
rxn07492_c	[0.17141817306398285, 0.16593681178324496, 0.20113140050767953, 0.15069798070692175]
rxn16824_c	[0.03572217280163289, 0.061665362860302095, 0.07018104472246885, 0.030103578230931592]
rxn03167_c	[0.07541870068714968, 0.07602271148963029, 0.08416841480793649, 0.05713821344332086]
rxn01160_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn02011_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn19830_c	[0.06656266079902214, 0.030782609591731493, 0.07165227724225998, 0.034955948652352783]
rxn32257_c	[0.03414418751122643, 0.031866637592559026, 0.035511130440858886, 0.02757630197069077]
rxn33715_c	[0.058307758167109175, 0.03941869933330934, 0.06350719282949836, 0.028803836151933118]
rxn16837_c	[0.21007344540034084, 0.23803671858503106, 0.20228279985840744, 0.16633821032760204]
rxn12005_c	[0.21007344540034084, 0.23803671858503106, 0.20228279985840744, 0.16633821032760204]
rxn32095_c	[0.01069983464154602, 0.010234256604324029, 0.013282725991910644, 0.00847731421970814]
rxn00598_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn07689_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn19982_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn19979_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn07681_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn07884_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
