keggID	Base mean DMC
lil:LA_1511	23.03
hmo:HM1_1592	3.44
arth:C3B78_09960	44.54
dfg:B0537_05970	144.25
lil:LA_1487	91.1
caby:Cabys_1654	367.76
lil:LA_1481	19.13
lil:LA_1476	30.47
lil:LA_1477	12.92
lil:LA_1466	20.71
lic:LIC_12291	15.1
lil:LA_1463	18.49
lic:LIC_12293	18.92
lil:LA_1459	94.02
kal:KALB_1452	46.89
lil:LA_1451	41.76
dwd:DSCW_47150	12.82
lil:LA_1437	14.45
mmal:CKJ54_13250	7.16
lgt:E4T54_05160	37.15
lic:LIC_12317	706.06
spoa:EQM13_17665	57.77
lil:LA_1424	464.64
stq:Spith_2022	233.69
sur:STAUR_4866	1221.98
oac:Oscil6304_2141	327.69
lic:LIC_12328	9.87
acip:CBP36_07200	3.63
lic:LIC_12334	46.19
lil:LA_1409	203.08
labr:CHH27_17525	107.15
bme:BMEI1779	37.95
mym:A176_005178	6.41
trb:HB776_07385	78.95
vbc:C5Q97_19795	18.47
rce:RC1_0642	3.44
dsf:UWK_01734	45.45
lbj:LBJ_0070	4.81
arp:NIES39_E02730	29.2
rhz:RHPLAN_22740	23.31
abg:Asbog_01676	12.06
sbu:SpiBuddy_3010	14.65
ssan:NX02_08950	39.0
apre:CNX65_15855	42.39
pel:SAR11G3_00092	24.62
lic:LIC_12392	55.5
ssob:DK181_03195	62.15
taci:TDSAC_1210	268.18
lil:LA_1313	590.65
deu:DBW_0325	92.19
kst:KSMBR1_2855	30.35
iva:Isova_2221	1.25
lis:LIL_20263	7.16
gpb:HDN1F_24370	23.87
rxy:Rxyl_0854	19.35
lil:LA_1262	47.37
piv:NCTC13079_00754	505.24
lic:LIC_12449	12.44
lil:LA_1257	12.18
lil:LA_1256	60.92
acp:A2cp1_2585	135.34
dfl:DFE_0669	73.49
lil:LA_1247	36.06
lic:LIC_12466	45.85
lil:LA_1224	505.45
lic:LIC_12475	220.92
lic:LIC_12476	208.57
red:roselon_00100	5.1
hht:F506_08165	22.99
achr:C2U31_11105	26.99
caba:SBC2_75270	59.18
lic:LIC_12495	79.51
spkc:KC8_06955	26.85
salh:HMF8227_02526	33.15
lgt:E4T54_05160	51.97
oxy:HCG48_22930	30.32
lil:LA_1184	40.93
lil:LA_1182	18.07
hfr:G5S34_23215	9.91
dal:Dalk_3789	13.19
lil:LA_1166	9.43
mmas:MYMAC_004443	45.78
iva:Isova_2221	14.93
mee:DA075_27050	10.75
lil:LA_1147	85.68
lil:LA_1145	38.63
lil:LA_1144	58.42
lic:LIC_12541	38.48
lil:LA_1139	17.93
azz:DEW08_08080	91.27
lic:LIC_12551	41.82
lkm:EFP84_14305	36.74
hgn:E6W36_08880	20.93
lil:LA_1119	20.59
lie:LIF_A0904	6.69
csep:CP523_01015	73.7
lil:LA_1111	31.19
lil:LA_1110	60.7
lil:LA_1102	118.91
lil:LA_1101	82.83
tfr:BR63_15455	33.96
hmc:HYPMC_2860	13.19
lic:LIC_12579	32.4
lic:LIC_12589	5.47
prs:B9H02_05145	57.18
blut:EW640_13100	2.1
lic:LIC_12598	13.16
hhy:Halhy_3688	5.44
lil:LA_1047	51.07
hmo:HM1_1592	96.89
lmay:DPV73_12440	34.43
lil:LA_1032	210.09
sye:Syncc9902_0114	4.47
lic:LIC_12631	908.9
lil:LA_1027	272.66
tav:G4V39_07670	21.89
lic:LIC_12648	52.75
bon:A361_25325	9.71
lic:LIC_12670	12.05
lil:LA_0973	5.93
lwl:FHG68_03790	19.81
pth:PTH_0951	19.15
lic:LIC_12694	258.34
sbr:SY1_23010	66.58
mym:A176_004709	639.15
lic:LIC_12711	3.78
lic:LIC_12716	7.82
lil:LA_0929	18.1
lie:LIF_A0748	50.67
lil:LA_0909	30.27
bhy:BHWA1_00699	155.29
thef:E1B22_09150	15.63
aalg:AREALGSMS7_02917	25.19
thg:TCELL_1277	66.33
barc:AOA65_1904	39.8
emi:Emin_1130	75.55
colw:A3Q33_18170	19.2
dat:HRM2_16600	103.93
caba:SBC2_75270	9.23
lic:LIC_12761	162.52
dsf:UWK_03168	23.92
lic:LIC_12764	2.46
lic:LIC_12770	4.08
lic:LIC_12771	29.09
lil:LA_0853	8.83
palg:HFP57_00660	15.58
lil:LA_0845	29.65
wgl:WIGMOR_0620	22.49
lil:LA_0840	33.95
lic:LIC_12788	28.45
lil:LA_0833	13.03
lil:LA_0832	20.12
lil:LA_0828	348.22
acry:AC20117_02015	27.68
ppsc:EHS13_33865	36.49
lkm:EFP84_06165	14.52
lil:LA_0806	13.3
