"PATRIC","ut30","to30","ut37","to37"
"fig|214675.23.peg.305",6.331651,1.124683,10.463725,3.429034
"fig|214675.23.peg.306",13.357756,2.990338,12.168623,5.952154
"fig|214675.23.peg.308",2.641812,2.053154,1.908783,1.839907
"fig|214675.23.peg.427",156.98642,18.776598,54.249332,17.296082
"fig|214675.23.peg.428",3.806781,2.063211,3.658016,2.532846
"fig|214675.23.peg.432",36.009563,5.73604,8.732013,1.958851
"fig|214675.23.peg.433",43.731148,3.400322,9.272747,2.316143
"fig|214675.23.peg.437",0.872618,0.537191,0.671867,0.60571
"fig|214675.23.peg.438",1.665674,0.349655,0.625339,0.490977
"fig|214675.23.peg.440",29.386299,2.296622,9.78427,0.538114
"fig|214675.23.peg.443",7.052829,3.167179,2.821831,5.461451
"fig|214675.23.peg.445",2.884935,2.268679,4.137967,2.452271
"fig|214675.23.peg.446",16.952175,2.714498,12.933169,3.911082
"fig|214675.23.peg.462",5.573358,2.089733,3.105068,2.887941
"fig|214675.23.peg.463",1.240843,1.541121,1.456378,1.598967
"fig|214675.23.peg.464",17.61134,2.785444,14.943495,3.68001
"fig|214675.23.peg.465",4.34776,1.123217,2.726966,1.32276
"fig|214675.23.peg.466",3.794143,0.42966,3.543264,0.613675
"fig|214675.23.peg.447",2.580927,4.372959,4.204259,7.18036
"fig|214675.23.peg.448",10.235324,6.598897,8.619004,11.877038
"fig|214675.23.peg.449",7.173963,2.322885,6.507419,2.322135
"fig|214675.23.peg.450",126.124969,9.493983,49.673489,7.276671
"fig|214675.23.peg.451",7.743928,32.489174,4.483821,37.287254
"fig|214675.23.peg.452",2.197508,1.108578,4.826841,3.628387
"fig|214675.23.peg.453",12.957355,3.755918,24.185301,10.514612
"fig|214675.23.peg.454",45.400757,8.271902,28.101929,13.346996
"fig|214675.23.peg.455",11.712908,9.520934,12.070522,16.156197
"fig|214675.23.peg.456",32.9105,5.658561,43.226906,12.825477
"fig|214675.23.peg.457",23.746878,18.145237,19.095886,28.717537
"fig|214675.23.peg.458",35.188679,3.472875,14.790486,6.265145
"fig|214675.23.peg.459",15.789502,8.88944,8.344105,7.892466
"fig|214675.23.peg.460",5.03612,1.873538,3.766019,3.148202
"fig|214675.23.peg.310",34.936501,2.697303,50.650642,5.638756
"fig|214675.23.peg.311",0.682059,NA,NA,NA
"fig|214675.23.peg.312",13.381876,1.828516,6.267063,2.410585
"fig|214675.23.peg.313",2.512251,0.539203,2.67382,3.144634
"fig|214675.23.peg.314",7.146726,3.01263,3.521076,3.705465
"fig|214675.23.peg.315",89.688278,60.892971,21.671539,51.693531
"fig|214675.23.peg.317",864.883362,26.403606,376.9039,50.340973
"fig|214675.23.peg.318",2.276962,9.899693,1.272718,21.173176
"fig|214675.23.peg.319",252.226837,3.85904,155.561569,7.958056
"fig|214675.23.peg.321",229.752579,19.641716,60.19059,14.692089
"fig|214675.23.peg.322",58.141357,5.462949,33.629898,6.855593
"fig|214675.23.peg.323",14.218485,3.727414,7.847596,4.454477
"fig|214675.23.peg.324",2.100024,1.014315,2.096861,2.164917
"fig|214675.23.peg.325",8.741733,3.394979,8.079689,7.006373
"fig|214675.23.peg.326",1.930851,2.72779,1.17243,1.493378
"fig|214675.23.peg.327",25.996639,8.149293,6.159279,4.320641
"fig|214675.23.peg.329",48.713238,27.822823,25.581015,33.933174
"fig|214675.23.peg.330",3.625198,2.136531,3.249804,5.996125
"fig|214675.23.peg.331",28.890272,1.818841,40.405537,4.478094
"fig|214675.23.peg.332",28.074841,11.717167,44.560928,36.724056
"fig|214675.23.peg.333",216.947205,10.877748,259.281921,32.632275
"fig|214675.23.peg.334",8.59096,2.808424,1.862601,1.726741
"fig|214675.23.peg.337",17.659016,2.055813,12.132169,3.170361
"fig|214675.23.peg.339",1.567634,NA,0.713543,NA
"fig|214675.23.peg.340",347.014771,16.540512,53.430809,7.096764
"fig|214675.23.peg.341",1.319436,3.080526,NA,1.872763
"fig|214675.23.peg.342",26.294302,3.21911,0.793461,4.371881
"fig|214675.23.peg.343",0.951343,3.679746,1.310022,6.363714
"fig|214675.23.peg.344",1.910538,5.255373,0.727486,3.029496
"fig|214675.23.peg.345",93.757736,42.763714,24.615101,27.161276
"fig|214675.23.peg.346",188.400284,38.412785,41.456268,28.504177
"fig|214675.23.peg.347",46.125973,56.633209,13.459467,40.241493
"fig|214675.23.peg.348",5.205946,1.194475,3.114495,1.141118
"fig|214675.23.peg.349",59.916557,8.537148,37.444946,14.134024
"fig|214675.23.peg.350",15.147467,2.061538,25.87192,4.825339
"fig|214675.23.peg.351",0.940462,0.423162,NA,0.436819
"fig|214675.23.peg.352",7.265853,3.797768,2.079805,3.325046
"fig|214675.23.peg.355",1.065355,NA,1.01821,NA
"fig|214675.23.peg.356",8.531738,NA,6.638621,0.874607
"fig|214675.23.peg.358",39.331375,11.328829,33.604816,19.438753
"fig|214675.23.peg.359",79.676468,14.900201,64.731224,22.900621
"fig|214675.23.peg.360",14.301819,3.968183,20.341036,7.821074
"fig|214675.23.peg.361",1.368152,1.380255,0.796362,4.303885
"fig|214675.23.peg.362",1.035052,NA,NA,NA
"fig|214675.23.peg.363",1.721081,1.697407,0.895159,3.594918
"fig|214675.23.peg.364",3.698531,0.938099,5.133772,3.388881
"fig|214675.23.peg.365",2.826598,1.745997,2.12372,1.791783
"fig|214675.23.peg.366",109.568756,34.446281,35.824036,23.060556
"fig|214675.23.peg.367",30.734667,0.501325,11.802866,0.408827
"fig|214675.23.peg.368",12.970125,3.835246,11.507812,5.414573
"fig|214675.23.peg.369",1.631414,1.576147,1.000013,2.594033
"fig|214675.23.peg.370",222.821655,15.631646,207.440277,24.02557
"fig|214675.23.peg.371",14.281428,2.513349,20.398153,4.736946
"fig|214675.23.peg.372",4.74367,2.499964,3.030613,2.98279
"fig|214675.23.peg.374",5.202849,1.580666,3.469186,2.059287
"fig|214675.23.peg.375",23.192625,3.289488,13.221996,2.542239
"fig|214675.23.peg.376",3.337123,2.063267,2.339359,2.527352
"fig|214675.23.peg.377",57.591625,4.721964,31.921841,5.152596
"fig|214675.23.peg.378",2.744188,1.55569,2.599556,2.582024
"fig|214675.23.peg.379",42.794617,12.953787,14.512193,9.012058
"fig|214675.23.peg.380",16.933798,6.102448,8.487551,4.781029
"fig|214675.23.peg.381",53.69566,17.055117,14.596686,9.447831
"fig|214675.23.peg.383",4.367994,1.851812,1.164337,1.678915
"fig|214675.23.peg.384",2.891899,1.509886,0.806281,0.591093
"fig|214675.23.peg.385",1.833077,0.437369,1.00689,NA
"fig|214675.23.peg.386",47.965183,1.23124,6.996063,1.065611
"fig|214675.23.peg.387",2.745955,0.66791,1.765176,0.518025
