keggID	to37
salh:HMF8227_02526	7.447846
lgt:E4T54_05160	33.326462
oxy:HCG48_22930	6.720289
lil:LA_1184	3.137859
lis:LIL_11112	5.002481
hfr:G5S34_23215	6.779788
lic:LIC_12516	4.222868
lil:LA_1166	3.679669
mmas:MYMAC_004443	3.166771
iva:Isova_2221	5.853696
mno:Mnod_1799	3.483479
lil:LA_1333	5.270049
pel:SAR11G3_00092	2.349866
apre:CNX65_15855	4.092613
ssan:NX02_08950	19.946056
sbu:SpiBuddy_3010	0.0
abg:Asbog_01676	6.140946
rhz:RHPLAN_22740	11.965606
arp:NIES39_E02730	4.349527
lbj:LBJ_0070	1.280423
dsf:UWK_01734	10.8168
rce:RC1_0642	2.647604
vbc:C5Q97_19795	7.54061
trb:HB776_07385	22.555901
mym:A176_005178	1.908716
bme:BMEI1779	14.59373
lis:LIL_13096	4.953539
lil:LA_0579	3.408094
psed:DM292_00360	11.237017
prm:EW15_1629	2.954166
lil:LA_0565	2.830416
lic:LIC_13016	5.473697
hhd:HBHAL_2473	3.121044
pmx:PERMA_1160	0.48922
lie:LIF_A0444	11.075735
lic:LIC_13027	1.558471
lbj:LBJ_2844	8.27587
tig:THII_3121	24.72913
tpe:Tpen_1516	0.856097
lic:LIC_10409	15.166143
tvi:Thivi_0880	7.487368
kst:KSMBR1_2007	13.010409
lic:LIC_10403	31.366833
lie:LIF_A0392	3.592588
lil:LA_0457	25.000494
kal:KALB_1452	6.764037
lic:LIC_10383	4.868897
bsed:DN745_03645	4.310218
lie:LIF_A0748	19.490887
lil:LA_0909	7.124523
bhy:BHWA1_00699	4.083538
thef:E1B22_09150	15.331145
aalg:AREALGSMS7_02917	31.851418
thg:TCELL_1277	38.150349
barc:AOA65_1904	12.812441
emi:Emin_1130	20.350441
colw:A3Q33_18170	18.1654
dat:HRM2_16600	31.850353
caba:SBC2_75270	11.954484
lil:LA_0869	45.487244
dsf:UWK_03168	5.824134
lic:LIC_12764	2.739834
lis:LIL_12860	0.0
lis:LIL_12861	11.371046
lil:LA_0853	8.570988
palg:HFP57_00660	5.995708
lis:LIL_12869	6.341649
wgl:WIGMOR_0620	4.584809
lil:LA_0840	15.521668
lis:LIL_12877	3.112557
lil:LA_0833	8.989075
lil:LA_0832	5.375182
lil:LA_0828	44.259811
acry:AC20117_02015	11.931894
ppsc:EHS13_33865	5.254553
lkm:EFP84_06165	0.609998
lil:LA_0806	2.789807
lis:LIL_12910	11.454468
lil:LA_0790	37.090633
lil:LA_0789	2.741081
saci:Sinac_5692	7.338361
lil:LA_0778	7.116955
lic:LIC_12841	18.638704
lis:LIL_12946	88.872459
gao:A2G06_08380	354.943176
azc:AZC_0928	21.946203
lil:LA_0727	11.34638
alus:STSP2_02144	1.686209
lis:LIL_10777	5.429471
hyj:FHG12_12845	4.862553
haxi:HAALTHF_04080n	68.700203
tpx:Turpa_2698	7.93152
mbah:HYN46_07285	5.858359
lie:LIF_A2699	3.257172
lis:LIL_10818	11.144227
lil:LA_3363	2.981237
tfr:BR63_10070	4.84459
rgn:RGna_12855	6.437751
arp:NIES39_E02730	0.92007
tkm:TK90_0100	2.548869
tkm:TK90_0100	0.704999
tmc:LMI_0371	3.069011
dori:FH5T_13955	7.70274
kal:KALB_1452	3.687831
dsf:UWK_03168	6.73533
lis:LIL_12205	31.188051
lis:LIL_12203	14.177382
bof:FQV39_14950	5.498331
dwd:DSCW_34400	8.544801
plu:plu4830	47.886791
lil:LA_1859	62.189964
star:G3545_23690	17.309841
fia:NA23_08610	6.678636
lkm:EFP84_03100	11.710592
lil:LA_1865	11.093042
bsto:C0V70_02780	3.907672
aol:S58_11700	15.844935
lil:LA_1889	0.0
lic:LIC_12184	0.735392
lil:LA_1896	139.270523
lil:LA_1897	96.585281
lil:LA_1898	75.75087
con:TQ29_11650	3.872844
pmy:Pmen_1295	3.581247
cct:CC1_05430	4.450815
lic:LIC_11992	18.581446
deo:CAY53_10930	7.605536
mjl:Mjls_5689	116.580666
lil:LA_1930	56.880169
hhd:HBHAL_2473	9.785021
pts:CUJ90_21645	23.414707
len:LEP3755_10520	1.741861
slac:SKTS_23530	2.490009
lil:LA_2010	17.544054
lil:LA_2009	16.134655
lil:LA_2008	14.660001
lil:LA_2001	5.601181
cad:Curi_c17470	0.0
fes:HER31_17020	19.817192
lil:LA_1991	8.810678
lil:LA_1986	28.337994
keu:S101446_00590	2.22294
ttr:Tter_0104	8.904404
cbut:ATN24_11095	12.802984
gsb:GSUB_07665	16.340483
ccj:UL81_08255	6.452201
lbi:LEPBI_I2850	2.929497
axo:NH44784_059261	14.775745
rub:GBA63_11955	8.797757
lil:LA_1951	27.969362
lgt:E4T54_05160	21.336641
aii:E4K63_02220	0.94185
tpx:Turpa_1461	1.906367
lic:LIC_10472	7.003328
puv:PUV_21100	0.685271
lil:LA_3747	39.586418
tpx:Turpa_1643	10.196881
pth:PTH_0951	8.237803
thf:MA03_04635	19.048313
lil:LA_3695	2.344347
iva:Isova_2221	4.343605
rpne:NCTC8284_03738	31.724195
lis:LIL_10439	4.312404
slac:SKTS_14590	57.634243
lil:LA_3822	13.271212
lil:LA_3823	15.076999
lil:LA_3824	43.390213
lil:LA_0929	2.370893
lic:LIC_12716	1.741367
lis:LIL_12802	0.0
laj:A0128_00610	2.897917
cdq:BOQ54_18705	7.251213
sbr:SY1_23010	12.927171
lil:LA_0956	26.821758
pth:PTH_0951	10.405162
