reaction	linear_coefficient
rxn16206_c	[0.0060939543414676505]
rxn35345_c	[0.0060939543414676505]
rxn19898_c	[0.025678176263423794]
rxn00615_c	[0.01943770654598141]
rxn35246_c	[0.07129329665022438]
rxn32777_c	[0.07129329665022438]
rxn33736_c	[0.02874957266348674]
rxn03236_c	[0.25215296205251764]
rxn31235_c	[0.008297111476495134]
rxn16641_c	[0.013126692388254894]
rxn32471_c	[0.07940048078749301]
rxn31866_c	[0.25215296205251764]
rxn19830_c	[0.048648531319018244]
rxn31790_c	[0.016876400714126796]
rxn33374_c	[0.012258453123219432]
rxn32803_c	[0.025689029254236738]
rxn32571_c	[0.025689029254236738]
rxn32492_c	[0.025689029254236738]
rxn34257_c	[0.025689029254236738]
rxn33087_c	[0.025689029254236738]
rxn38004_c	[0.025689029254236738]
rxn31773_c	[0.021005963718451714]
rxn12039_c	[0.021005963718451714]
rxn21212_c	[0.021005963718451714]
rxn31997_c	[0.021005963718451714]
rxn21114_c	[0.021005963718451714]
rxn03358_c	[0.021005963718451714]
rxn21214_c	[0.021005963718451714]
rxn11875_c	[0.021005963718451714]
rxn27000_c	[0.021005963718451714]
rxn19157_c	[0.021005963718451714]
rxn03195_c	[0.021005963718451714]
rxn12038_c	[0.021005963718451714]
rxn03359_c	[0.021005963718451714]
rxn01715_c	[0.021005963718451714]
rxn21216_c	[0.021005963718451714]
rxn03342_c	[0.021005963718451714]
rxn33386_c	[0.021005963718451714]
rxn21211_c	[0.021005963718451714]
rxn02144_c	[0.13286774002745808]
rxn30580_c	[0.41330359613850587]
rxn30431_c	[0.0008248273017836891]
rxn30429_c	[0.0008248273017836891]
rxn30430_c	[0.0008248273017836891]
rxn30428_c	[0.0008248273017836891]
rxn32580_c	[0.016279486219414916]
rxn01361_c	[0.02874957266348674]
rxn03039_c	[0.019356309114884337]
rxn35432_c	[0.010098707951443719]
rxn32399_c	[0.01338173767235906]
rxn32462_c	[0.016523678512706138]
rxn38136_c	[0.013273207764229628]
rxn01025_c	[0.4709926688047059]
rxn02090_c	[0.4709926688047059]
rxn00717_c	[0.4709926688047059]
rxn27716_c	[0.06188375361540257]
rxn16742_c	[0.13971055073501878]
rxn01352_c	[0.019356309114884337]
rxn04482_c	[0.010109560942256662]
rxn31942_c	[0.01947569201382671]
rxn32204_c	[0.01947569201382671]
rxn00801_c	[0.6112675750619978]
rxn16574_c	[0.02874957266348674]
rxn10476_c	[0.017435329740993374]
rxn05115_c	[0.0858308778441619]
rxn00143_c	[0.342292477249418]
rxn30734_c	[0.342292477249418]
rxn30380_c	[0.3520818749626929]
rxn30369_c	[0.3520818749626929]
rxn35281_c	[0.04702058269707675]
rxn11997_c	[0.019356309114884337]
rxn02791_c	[0.019356309114884337]
rxn05952_c	[0.019356309114884337]
rxn31443_c	[0.019356309114884337]
rxn06817_c	[0.019356309114884337]
rxn06025_c	[0.019356309114884337]
rxn33431_c	[0.019356309114884337]
rxn31675_c	[0.019356309114884337]
rxn31408_c	[0.08983020495873151]
rxn06348_c	[0.08334011645259143]
rxn32132_c	[0.010098707951443719]
rxn38123_c	[0.03159848275188435]
rxn03514_c	[0.05740146840965699]
rxn30072_c	[0.05740146840965699]
rxn03408_c	[0.06848779852507855]
rxn03933_c	[0.06848779852507855]
rxn15053_c	[0.008297111476495134]
rxn33432_c	[0.008297111476495134]
rxn00196_c	[0.008297111476495134]
rxn33696_c	[0.008297111476495134]
rxn31895_c	[0.008297111476495134]
rxn33132_c	[0.008297111476495134]
rxn32139_c	[0.008297111476495134]
rxn31362_c	[0.008297111476495134]
rxn32516_c	[0.008297111476495134]
rxn32956_c	[0.008297111476495134]
rxn32720_c	[0.008297111476495134]
rxn06890_c	[0.008297111476495134]
rxn04234_c	[0.008297111476495134]
rxn31901_c	[0.008297111476495134]
rxn03598_c	[0.008297111476495134]
rxn33557_c	[0.008297111476495134]
rxn02122_c	[0.008297111476495134]
rxn30209_c	[0.008297111476495134]
rxn32259_c	[0.05570840184283784]
rxn16581_c	[0.016539957998925554]
rxn27692_c	[0.019356309114884337]
rxn30710_c	[0.019356309114884337]
rxn06729_c	[0.024625436154568296]
rxn32749_c	[0.10845936368914864]
rxn31977_c	[0.2150031744998128]
rxn30256_c	[0.02407736011851466]
rxn33856_c	[0.019356309114884337]
rxn38244_c	[0.032000043411963254]
rxn02000_c	[0.06848779852507855]
rxn31946_c	[0.06848779852507855]
rxn33242_c	[0.012366983031348864]
rxn32058_c	[0.012366983031348864]
rxn33488_c	[0.05900228455456613]
rxn32595_c	[0.11492774621366283]
rxn28256_c	[0.07833688768782458]
rxn20499_c	[0.07375149906935603]
rxn19071_c	[0.07375149906935603]
rxn30578_c	[0.02874957266348674]
rxn27936_c	[0.009811103694900722]
rxn05918_c	[0.01747331520883868]
rxn27994_c	[0.06848779852507855]
rxn32907_c	[0.06848779852507855]
rxn31264_c	[0.06848779852507855]
rxn33298_c	[0.06848779852507855]
rxn28045_c	[0.06848779852507855]
rxn06850_c	[0.04864310482361177]
rxn16789_c	[0.09023719211421688]
rxn16573_c	[0.1001242667448082]
rxn38257_c	[0.006560632946424211]
rxn19488_c	[0.48370694754206894]
rxn34739_c	[0.011612700169849307]
rxn03617_c	[0.011612700169849307]
rxn34735_c	[0.011612700169849307]
rxn34736_c	[0.011612700169849307]
rxn34737_c	[0.011612700169849307]
rxn34734_c	[0.011612700169849307]
rxn34738_c	[0.011612700169849307]
rxn27455_c	[0.011612700169849307]
rxn27889_c	[0.005540451810007544]
rxn27887_c	[0.005540451810007544]
rxn32796_c	[0.015438379431411811]
rxn35488_c	[0.015438379431411811]
rxn02788_c	[0.4139059371286242]
rxn03690_c	[0.4139059371286242]
rxn04464_c	[0.016876400714126796]
rxn19646_c	[0.019806708233621483]
rxn04961_c	[0.153542687526115]
rxn30378_c	[0.20005317965498345]
rxn27286_c	[0.025618484813952607]
rxn35247_c	[0.0689381976438157]
rxn06023_c	[0.020946272268980527]
rxn35449_c	[0.05900228455456613]
rxn28979_c	[0.009632029346487159]
rxn03264_c	[0.009632029346487159]
rxn32253_c	[0.00788469782560329]
rxn30355_c	[0.00788469782560329]
rxn33740_c	[0.00788469782560329]
rxn33295_c	[0.00788469782560329]
rxn34671_c	[0.00788469782560329]
rxn28091_c	[0.05549134202657898]
rxn34299_c	[0.05549134202657898]
rxn09177_c	[0.14546263586587874]
rxn16195_c	[0.05206722342509537]
rxn28051_c	[0.032000043411963254]
rxn02432_c	[0.024880481438672462]
rxn02433_c	[0.024880481438672462]
rxn38143_c	[0.06921494890954574]
rxn02939_c	[0.06848779852507855]
rxn07587_c	[0.016876400714126796]
rxn35352_c	[0.0858308778441619]
rxn30743_c	[0.015427526440598869]
rxn02450_c	[0.04864310482361177]
rxn15365_c	[0.04864310482361177]
rxn06375_c	[0.04864310482361177]
rxn15666_c	[0.04864310482361177]
rxn04598_c	[0.046369403248300155]
rxn04597_c	[0.046369403248300155]
rxn32619_c	[0.012258453123219432]
rxn15667_c	[0.019356309114884337]
rxn32257_c	[0.05858987090367428]
rxn35316_c	[0.09058991431563754]
rxn05890_c	[0.09058991431563754]
rxn35311_c	[0.12308919530499618]
rxn35310_c	[0.12308919530499618]
rxn00290_c	[0.009463807988886538]
rxn27845_c	[0.016876400714126796]
rxn32978_c	[0.027072785582887005]
rxn01857_c	[0.25215296205251764]
rxn04160_c	[0.030741096477661833]
rxn35343_c	[0.02027338683857804]
rxn32750_c	[0.02027338683857804]
rxn34231_c	[0.019356309114884337]
rxn01153_c	[0.05900228455456613]
rxn06224_c	[0.019356309114884337]
rxn04052_c	[0.022677324303644976]
rxn03512_c	[0.022677324303644976]
rxn09037_c	[0.01814077414383469]
rxn01990_c	[0.019356309114884337]
rxn02346_c	[0.019356309114884337]
rxn20041_c	[0.1001242667448082]
rxn20040_c	[0.1001242667448082]
rxn03669_c	[0.1001242667448082]
rxn07484_c	[0.1001242667448082]
rxn03596_c	[0.1001242667448082]
